index,model,feature_type,feature_value,lambda_type,lambda_value,rmse
143,krr,M,7.599999999999999,cv_lambda,10000,130.36212946005628
144,krr,M,7.699999999999998,normal_lambda,1,10517.432368483296
145,krr,M,7.699999999999998,cv_lambda,10000,174.73843921145718
146,krr,M,7.799999999999998,normal_lambda,1,7535.199441204679
147,krr,M,7.799999999999998,cv_lambda,10000,228.91432832603155
148,krr,M,7.899999999999999,normal_lambda,1,5075.6167487646335
149,krr,M,7.899999999999999,cv_lambda,10000,293.73786270163407
150,krr,M,7.999999999999998,normal_lambda,1,9975.100106852797
151,krr,M,7.999999999999998,cv_lambda,10000,380.86503443084416
152,krr,M,8.099999999999998,normal_lambda,1,9202.378162249275
153,krr,M,8.099999999999998,cv_lambda,10000,518.1758874681893
154,krr,M,8.2,normal_lambda,1,6882.5139346439855
155,krr,M,8.2,cv_lambda,10000,739.4876302937957
156,krr,M,8.299999999999997,normal_lambda,1,7173.429940934497
157,krr,M,8.299999999999997,cv_lambda,10000,1046.5192215635595
158,krr,M,8.399999999999999,normal_lambda,1,4360.365993086255
159,krr,M,8.399999999999999,cv_lambda,10000,1423.2864085331296
160,krr,M,8.499999999999998,normal_lambda,1,7100.122754425399
161,krr,M,8.499999999999998,cv_lambda,10000,1857.3997266393667
162,krr,M,8.599999999999998,normal_lambda,1,2650.9258132742025
163,krr,M,8.599999999999998,cv_lambda,10000,2293.4332696367264
164,krr,M,8.699999999999998,normal_lambda,1,5413.714665392632
165,krr,M,8.699999999999998,cv_lambda,10000,2756.0417425616783
166,krr,M,8.799999999999999,normal_lambda,1,3944.1960197791523
167,krr,M,8.799999999999999,cv_lambda,10000,3258.9825057489043
168,krr,M,8.899999999999999,normal_lambda,1,3317.692857910744
169,krr,M,8.899999999999999,cv_lambda,10000,3265.948053598331
170,krr,M,8.999999999999998,normal_lambda,1,5878.453160257696
171,krr,M,8.999999999999998,cv_lambda,10000,3523.2352456814965
172,krr,M,9.099999999999998,normal_lambda,1,3888.5662736324903
173,krr,M,9.099999999999998,cv_lambda,10000,3756.3178454480294
174,krr,M,9.199999999999998,normal_lambda,1,4672.50045785312
175,krr,M,9.199999999999998,cv_lambda,10000,3821.1970654938104
176,krr,M,9.299999999999997,normal_lambda,1,4387.490611142765
177,krr,M,9.299999999999997,cv_lambda,10000,3942.539604696133
178,krr,M,9.399999999999999,normal_lambda,1,3476.4263647699477
179,krr,M,9.399999999999999,cv_lambda,10000,3580.550701997992
180,krr,M,9.499999999999998,normal_lambda,1,4453.4267850295355
181,krr,M,9.499999999999998,cv_lambda,10000,4031.4898237331263
182,krr,M,9.599999999999998,normal_lambda,1,4085.2031485592533
183,krr,M,9.599999999999998,cv_lambda,10000,4330.561863512124
184,krr,M,9.699999999999998,normal_lambda,1,5045.129783774236
185,krr,M,9.699999999999998,cv_lambda,10000,4746.8481900093275
186,krr,M,9.799999999999997,normal_lambda,1,4051.633235207828
187,krr,M,9.799999999999997,cv_lambda,10000,4023.9286568762873
188,krr,M,9.899999999999999,normal_lambda,1,4258.35280262425
